,,,tt(1l),,,tt(2l),,,ttW,,,ttZ,,,Rarett+X(Y),,,V/VV/VVV,,,Total,,,data,,,Ratio,,,C2V=6,,,C2V=4.5,,,C2V=-2,,,C2V=3,,
Tight,ET,On Mbb-peak,Only LeadLep140,10.537,±,1.672,2.857,±,0.684,0.49,±,0.06,0.337,±,0.12,1.165,±,0.331,0.046,±,0.04,15.432,±,1.842,0.0,±,0.0,0.0,±,0.0,0.947,±,0.123,0.478,±,0.02,0.284,±,0.041,0.162,±,0.022
Tight,ET,Off Mbb-peak,Only LeadLep140,31.479,±,2.552,10.786,±,1.408,1.574,±,0.112,0.866,±,0.07,3.965,±,1.081,3.87,±,3.713,52.54,±,4.845,33.0,±,5.745,0.628,±,0.124,0.096,±,0.039,0.086,±,0.009,0.035,±,0.014,0.028,±,0.009
Tight,MT,On Mbb-peak,Only LeadLep140,14.267,±,1.955,4.525,±,1.067,0.674,±,0.066,0.151,±,0.146,1.236,±,0.323,0.027,±,0.027,20.879,±,2.257,0.0,±,0.0,0.0,±,0.0,1.22,±,0.14,0.58,±,0.022,0.457,±,0.051,0.205,±,0.025
Tight,MT,Off Mbb-peak,Only LeadLep140,49.057,±,3.403,19.026,±,2.283,2.048,±,0.125,1.236,±,0.212,3.681,±,0.465,0.193,±,0.08,75.24,±,4.132,44.0,±,6.633,0.585,±,0.094,0.144,±,0.048,0.122,±,0.01,0.064,±,0.019,0.012,±,0.006
Tight,LT,On Mbb-peak,Only LeadLep140,24.804,±,2.573,7.382,±,1.267,1.164,±,0.089,0.488,±,0.189,2.4,±,0.462,0.073,±,0.048,36.311,±,2.913,0.0,±,0.0,0.0,±,0.0,2.167,±,0.187,1.057,±,0.03,0.741,±,0.066,0.367,±,0.034
Tight,LT,Off Mbb-peak,Only LeadLep140,80.536,±,4.254,29.812,±,2.682,3.622,±,0.167,2.102,±,0.224,7.646,±,1.177,4.063,±,3.714,127.78,±,6.368,77.0,±,8.775,0.603,±,0.075,0.241,±,0.062,0.208,±,0.013,0.098,±,0.024,0.04,±,0.011
Tight,EE,On Mbb-peak,Only SubleadLep60,3.891,±,0.924,1.935,±,0.84,2.22,±,0.127,1.059,±,0.241,0.916,±,0.046,0.062,±,0.034,10.084,±,1.28,0.0,±,0.0,0.0,±,0.0,1.236,±,0.141,0.607,±,0.023,0.457,±,0.051,0.223,±,0.026
Tight,EE,Off Mbb-peak,Only SubleadLep60,8.344,±,1.479,4.944,±,1.117,6.518,±,0.219,3.446,±,0.5,3.475,±,0.235,0.263,±,0.079,26.99,±,1.948,24.0,±,4.899,0.889,±,0.193,0.241,±,0.062,0.117,±,0.01,0.116,±,0.026,0.052,±,0.013
Tight,EM,On Mbb-peak,Only SubleadLep60,4.796,±,1.202,1.453,±,0.659,5.189,±,0.196,1.416,±,0.33,2.407,±,0.188,0.039,±,0.088,15.3,±,1.438,0.0,±,0.0,0.0,±,0.0,3.194,±,0.226,1.484,±,0.035,0.996,±,0.076,0.49,±,0.039
Tight,EM,Off Mbb-peak,Only SubleadLep60,12.573,±,1.774,5.192,±,1.108,17.518,±,0.356,6.224,±,0.683,9.624,±,1.105,0.508,±,0.121,51.639,±,2.49,50.0,±,7.071,0.968,±,0.145,0.754,±,0.11,0.318,±,0.016,0.226,±,0.036,0.061,±,0.014
Tight,MM,On Mbb-peak,Only SubleadLep60,0.0,±,0.0,0.324,±,0.232,3.344,±,0.157,0.341,±,0.195,1.304,±,0.051,0.031,±,0.024,5.344,±,0.346,0.0,±,0.0,0.0,±,0.0,1.878,±,0.174,0.933,±,0.028,0.643,±,0.061,0.297,±,0.03
Tight,MM,Off Mbb-peak,Only SubleadLep60,1.95,±,0.726,0.324,±,0.232,11.394,±,0.289,2.13,±,0.497,5.156,±,0.118,0.222,±,0.067,21.176,±,0.965,35.0,±,5.916,1.653,±,0.289,0.562,±,0.095,0.216,±,0.014,0.151,±,0.03,0.055,±,0.013
Tight,LL,On Mbb-peak,Only SubleadLep60,8.687,±,1.516,3.712,±,1.093,10.753,±,0.281,2.817,±,0.453,4.627,±,0.2,0.132,±,0.098,30.728,±,1.956,0.0,±,0.0,0.0,±,0.0,6.309,±,0.318,3.023,±,0.05,2.096,±,0.11,1.01,±,0.056
Tight,LL,Off Mbb-peak,Only SubleadLep60,22.866,±,2.421,10.46,±,1.591,35.43,±,0.508,11.801,±,0.982,18.255,±,1.136,0.994,±,0.159,99.806,±,3.306,109.0,±,10.44,1.092,±,0.111,1.557,±,0.158,0.651,±,0.023,0.492,±,0.053,0.168,±,0.023
Loose,EE,On Mbb-peak,Only SubleadLep60,7.834,±,1.464,2.697,±,0.923,3.077,±,0.152,2.108,±,0.36,1.605,±,0.142,3.005,±,2.754,20.325,±,3.279,0.0,±,0.0,0.0,±,0.0,1.252,±,0.142,0.543,±,0.021,0.382,±,0.047,0.202,±,0.025
Loose,EE,Off Mbb-peak,Only SubleadLep60,15.608,±,1.886,8.884,±,1.586,9.167,±,0.255,4.051,±,0.558,4.352,±,0.309,0.822,±,0.194,42.886,±,2.565,50.0,±,7.071,1.166,±,0.179,0.754,±,0.11,0.338,±,0.017,0.226,±,0.036,0.101,±,0.018
Loose,EM,On Mbb-peak,Only SubleadLep60,13.283,±,1.72,2.64,±,0.913,8.25,±,0.246,2.383,±,0.42,3.788,±,0.246,0.396,±,0.192,30.739,±,2.031,0.0,±,0.0,0.0,±,0.0,2.472,±,0.199,1.395,±,0.034,0.921,±,0.073,0.41,±,0.035
Loose,EM,Off Mbb-peak,Only SubleadLep60,38.717,±,3.149,10.681,±,1.728,22.581,±,0.411,9.303,±,0.855,11.603,±,1.165,2.585,±,0.362,95.469,±,3.91,90.0,±,9.487,0.943,±,0.107,1.557,±,0.158,0.815,±,0.026,0.666,±,0.062,0.278,±,0.029
Loose,MM,On Mbb-peak,Only SubleadLep60,5.572,±,1.242,0.591,±,0.299,5.489,±,0.197,1.807,±,0.367,2.064,±,0.168,0.266,±,0.09,15.79,±,1.357,0.0,±,0.0,0.0,±,0.0,1.958,±,0.177,0.831,±,0.026,0.504,±,0.054,0.3,±,0.03
Loose,MM,Off Mbb-peak,Only SubleadLep60,19.25,±,2.206,1.701,±,0.699,14.924,±,0.337,3.824,±,0.531,8.491,±,1.573,0.924,±,0.191,49.114,±,2.874,38.0,±,6.164,0.774,±,0.133,1.14,±,0.135,0.58,±,0.022,0.307,±,0.042,0.187,±,0.024
Loose,LL,On Mbb-peak,Only SubleadLep60,26.689,±,2.578,5.927,±,1.332,16.816,±,0.35,6.298,±,0.663,7.457,±,0.33,3.667,±,2.762,66.855,±,4.089,0.0,±,0.0,0.0,±,0.0,5.683,±,0.302,2.769,±,0.048,1.807,±,0.102,0.912,±,0.053
Loose,LL,Off Mbb-peak,Only SubleadLep60,73.576,±,4.282,21.266,±,2.448,46.672,±,0.59,17.178,±,1.151,24.446,±,1.982,4.331,±,0.453,187.468,±,5.49,178.0,±,13.342,0.949,±,0.076,3.451,±,0.235,1.733,±,0.038,1.199,±,0.083,0.566,±,0.042
Tight,ET,On Mbb-peak,Only SubleadLep60,17.922,±,2.049,4.362,±,0.837,0.861,±,0.075,0.474,±,0.189,1.952,±,0.41,0.048,±,0.04,25.619,±,2.26,0.0,±,0.0,0.0,±,0.0,0.931,±,0.122,0.489,±,0.02,0.301,±,0.042,0.162,±,0.022
Tight,ET,Off Mbb-peak,Only SubleadLep60,62.583,±,3.645,24.093,±,2.442,2.402,±,0.136,1.336,±,0.127,6.248,±,1.244,3.959,±,3.714,100.621,±,5.885,73.0,±,8.544,0.725,±,0.095,0.064,±,0.032,0.088,±,0.009,0.041,±,0.015,0.031,±,0.01
Tight,MT,On Mbb-peak,Only SubleadLep60,28.813,±,2.58,8.264,±,1.39,1.005,±,0.084,0.698,±,0.154,2.141,±,0.378,0.21,±,0.209,41.131,±,2.968,0.0,±,0.0,0.0,±,0.0,1.188,±,0.138,0.591,±,0.022,0.469,±,0.052,0.214,±,0.026
Tight,MT,Off Mbb-peak,Only SubleadLep60,80.668,±,4.325,30.451,±,2.786,3.176,±,0.155,1.867,±,0.253,6.169,±,0.559,0.115,±,0.066,122.446,±,5.184,74.0,±,8.602,0.604,±,0.075,0.144,±,0.048,0.117,±,0.01,0.069,±,0.02,0.021,±,0.008
Tight,LT,On Mbb-peak,Only SubleadLep60,46.735,±,3.295,12.626,±,1.623,1.867,±,0.113,1.172,±,0.243,4.092,±,0.558,0.258,±,0.212,66.75,±,3.73,0.0,±,0.0,0.0,±,0.0,2.119,±,0.184,1.081,±,0.03,0.77,±,0.067,0.376,±,0.034
